City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Shepstone,-30.74,30.45,69.76,83,99,11.14,ZA,1603846471
Basco,20.45,121.97,81.68,83,100,23.09,PH,1603846471
Hermanus,-34.42,19.23,60.01,92,100,1.01,ZA,1603846471
Thinadhoo,0.53,72.93,83.73,67,41,11.56,MV,1603846471
Grevená,40.08,21.43,46.56,81,100,4.7,GR,1603846471
Albany,42.6,-73.97,46.09,77,100,1.7,US,1603846224
Almonte,37.26,-6.52,56.34,70,1,6.04,ES,1603846389
Yellowknife,62.46,-114.35,17.37,67,75,4.7,CA,1603846472
Bugalagrande,4.21,-76.16,66.0,72,100,1.54,CO,1603846472
Maniitsoq,65.42,-52.9,20.7,86,0,7.2,GL,1603846472
Juegang,32.32,121.19,66.0,1,100,9.95,CN,1603846472
Cape Town,-33.93,18.42,60.55,87,75,10.29,ZA,1603846330
Saint-Augustin,51.23,-58.65,30.85,90,55,4.92,CA,1603846473
Severo-Kuril'sk,50.68,156.12,45.37,77,0,5.26,RU,1603846473
New Norfolk,-42.78,147.06,55.53,62,98,1.01,AU,1603846473
Kumul,42.8,93.45,44.51,48,0,8.95,CN,1603846473
Nikolskoye,59.7,30.79,51.6,87,75,8.95,RU,1603846473
Yzeure,46.56,3.35,53.1,81,90,5.82,FR,1603846473
Dingle,11.0,122.67,83.52,76,41,2.13,PH,1603846473
Abbeville,50.1,1.83,51.01,72,43,12.15,FR,1603846474
Bengkulu,-3.8,102.27,81.0,71,93,2.26,ID,1603846474
Bilma,18.69,12.92,68.05,25,0,3.31,NE,1603846235
Faanui,-16.48,-151.75,79.81,82,100,19.57,PF,1603846474
Khatanga,71.97,102.5,-6.11,90,48,10.27,RU,1603846474
Rikitea,-23.12,-134.97,75.6,83,100,16.42,PF,1603846474
Ushuaia,-54.8,-68.3,44.6,39,75,11.41,AR,1603846226
Kaitangata,-46.28,169.85,55.67,56,0,7.65,NZ,1603846475
Punta Arenas,-53.15,-70.92,44.29,65,0,27.51,CL,1603846475
Puerto Ayora,-0.74,-90.35,68.0,92,100,1.99,EC,1603846249
Springfield,37.22,-93.3,37.76,100,90,5.82,US,1603846396
Avarua,-21.21,-159.78,73.4,78,100,6.93,CK,1603846475
Hithadhoo,-0.6,73.08,83.93,66,85,11.01,MV,1603846235
Mar del Plata,-38.0,-57.56,57.54,87,0,6.93,AR,1603846213
Port Elizabeth,-33.92,25.57,62.6,82,0,19.46,ZA,1603846476
Arcata,40.87,-124.08,58.51,51,1,8.05,US,1603846472
Yatou,37.15,122.38,59.11,41,0,11.92,CN,1603846477
Noumea,-22.28,166.46,89.6,35,0,12.75,NC,1603846477
Hobart,-42.88,147.33,57.11,76,75,10.29,AU,1603846325
Staryy Nadym,65.61,72.68,2.1,90,0,6.31,RU,1603846477
Sena Madureira,-9.07,-68.66,75.61,92,100,1.92,BR,1603846477
Tevaitoa,-16.78,-151.5,80.51,81,14,19.73,PF,1603846478
Villa María,-32.41,-63.24,64.99,65,0,3.0,AR,1603846478
Mataura,-46.19,168.86,59.0,69,95,8.01,NZ,1603846478
Shelburne,44.08,-80.2,36.46,93,90,3.36,CA,1603846478
Clyde River,70.47,-68.59,8.6,71,1,6.93,CA,1603846479
Sola,-13.88,167.55,80.33,77,0,16.71,VU,1603846479
Vaini,-21.2,-175.2,77.0,73,20,12.75,TO,1603846479
Rojhan,28.69,69.95,66.63,25,0,4.76,PK,1603846479
Lüderitz,-26.65,15.16,56.68,79,0,10.51,NA,1603846479
Pitimbu,-7.47,-34.81,78.8,78,20,6.93,BR,1603846479
Sohag,26.56,31.69,75.2,53,0,9.17,EG,1603846480
Salinópolis,-0.61,-47.36,80.17,84,44,11.1,BR,1603846480
Kiama,-34.68,150.87,64.83,73,97,4.0,AU,1603846480
Narsaq,60.92,-46.05,30.2,80,100,3.13,GL,1603846480
Bairiki Village,1.33,172.98,86.0,66,20,5.82,KI,1603846480
Thompson,55.74,-97.86,24.8,68,75,9.17,CA,1603846480
Serowe,-22.38,26.72,69.26,41,0,7.52,BW,1603846480
Lábrea,-7.26,-64.8,73.24,97,100,5.21,BR,1603846481
Mount Gambier,-37.83,140.77,62.6,59,0,2.24,AU,1603846481
Vao,-22.67,167.48,73.22,82,100,18.48,NC,1603846481
Port Alfred,-33.59,26.89,63.39,87,85,13.33,ZA,1603846447
Wajima,37.4,136.9,57.2,62,75,4.97,JP,1603846481
Jalu,29.03,21.55,70.16,43,0,10.22,LY,1603846481
Ponta do Sol,32.67,-17.1,61.92,64,75,5.82,PT,1603846481
Paamiut,61.99,-49.67,27.88,84,100,17.58,GL,1603846482
Bukachacha,52.98,116.92,22.3,85,24,2.37,RU,1603846482
Atuona,-9.8,-139.03,78.66,74,1,19.01,PF,1603846238
Estelle,29.85,-90.11,77.92,100,90,6.93,US,1603846483
Bathsheba,13.22,-59.52,80.6,88,40,21.92,BB,1603846483
Hong Kong,22.29,114.16,73.0,76,100,17.18,HK,1603846329
San Quintín,30.48,-115.95,65.62,44,0,6.98,MX,1603846483
Jamestown,42.1,-79.24,39.58,100,90,2.19,US,1603846483
Castro,-24.79,-50.01,59.59,67,0,4.5,BR,1603846484
Leningradskiy,69.38,178.42,19.2,91,0,18.66,RU,1603846484
Pangnirtung,66.15,-65.71,8.56,76,0,4.21,CA,1603846484
Bambous Virieux,-20.34,57.76,70.0,80,6,4.0,MU,1603846484
San Patricio,28.02,-97.52,53.19,81,90,14.99,US,1603846267
Grand Gaube,-20.01,57.66,70.0,80,0,4.0,MU,1603846484
Butaritari,3.07,172.79,81.0,65,44,3.02,KI,1603846485
Lavrentiya,65.58,-171.0,30.13,90,71,8.81,RU,1603846257
Kapaa,22.08,-159.32,81.82,69,75,5.82,US,1603846235
Kieta,-6.22,155.63,87.28,62,38,3.98,PG,1603846485
Shingū,33.73,135.98,66.2,52,75,1.12,JP,1603846485
Salamiyah,35.01,37.05,72.97,20,94,13.71,SY,1603846485
Iqaluit,63.75,-68.51,19.4,73,90,8.05,CA,1603846485
Kiryat Gat,31.61,34.76,72.12,100,100,3.38,IL,1603846486
São Filipe,14.9,-24.5,80.76,74,60,4.25,CV,1603846244
Nome,64.5,-165.41,33.62,86,90,6.93,US,1603846486
Buchanan,5.88,-10.05,78.8,94,75,5.12,LR,1603846261
Cayenne,4.93,-52.33,82.4,78,20,3.36,GF,1603846486
Hilo,19.73,-155.09,76.37,74,90,9.17,US,1603846387
Alta Floresta,-9.88,-56.09,78.12,70,17,3.22,BR,1603846487
Tselina,46.53,41.03,48.88,76,42,17.47,RU,1603846487
Praia,14.92,-23.51,78.8,83,100,14.99,CV,1603846380
Hoima,1.44,31.34,64.09,95,87,2.89,UG,1603846487
Atar,20.52,-13.05,82.74,22,6,10.04,MR,1603846487
Busselton,-33.65,115.33,62.37,80,0,1.01,AU,1603846487
Bac Lieu,9.29,105.72,81.39,81,100,14.16,VN,1603846487
Sur,22.57,59.53,70.57,65,0,1.79,OM,1603846466
Bethel,41.37,-73.41,50.14,57,75,3.65,US,1603846488
Kaeo,-35.1,173.78,72.0,73,59,5.01,NZ,1603846488
Chimoio,-19.12,33.48,66.2,100,0,3.36,MZ,1603846489
Tupi Paulista,-21.38,-51.57,72.63,62,0,3.11,BR,1603846489
Anadyr,64.75,177.48,17.6,85,20,6.71,RU,1603846443
Castellarano,44.51,10.73,46.18,85,0,1.99,IT,1603846489
Esperance,-33.87,121.9,68.0,77,92,16.11,AU,1603846489
Bluff,-46.6,168.33,59.0,69,26,8.01,NZ,1603846489
Xihe,31.69,113.47,59.36,45,80,9.01,CN,1603846490
Fairbanks,64.84,-147.72,28.04,92,90,4.16,US,1603846203
Nara,34.69,135.8,60.66,72,0,3.36,JP,1603846490
Airai,-8.93,125.41,72.7,72,29,3.0,TL,1603846490
Whitehorse,60.72,-135.05,31.53,92,75,5.82,CA,1603846196
Inhambane,-23.86,35.38,71.82,89,2,7.11,MZ,1603846490
Buala,-8.14,159.59,86.02,70,41,6.91,SB,1603846491
