City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Koumac,-20.57,164.28,73.26,80,99,3.96,NC,1603386702
Hasaki,35.73,140.83,60.87,100,75,6.93,JP,1603386725
Cape Town,-33.93,18.42,63.14,82,0,17.22,ZA,1603387027
Te Anau,-45.42,167.72,43.93,83,100,2.37,NZ,1603387257
Porto Seguro,-16.45,-39.06,82.4,65,75,12.75,BR,1603387257
Aklavik,68.22,-135.01,17.6,78,90,3.36,CA,1603386721
Saskylakh,71.92,114.08,4.05,92,91,10.38,RU,1603387257
Budhlāda,29.93,75.57,71.89,21,0,3.36,IN,1603387258
Provideniya,64.38,-173.3,33.96,91,4,12.1,RU,1603387258
Itarema,-2.92,-39.92,87.82,58,54,20.89,BR,1603387258
Rikitea,-23.12,-134.97,73.96,77,100,15.68,PF,1603387028
Khatanga,71.97,102.5,8.2,93,100,8.7,RU,1603387259
Lumphat,13.49,106.98,72.59,94,99,1.07,KH,1603387259
Jamestown,42.1,-79.24,56.79,100,90,4.7,US,1603387027
Lüderitz,-26.65,15.16,61.77,74,0,12.37,NA,1603387259
Māngrol,21.12,70.12,82.92,71,73,10.87,IN,1603387260
Busselton,-33.65,115.33,51.22,58,0,11.32,AU,1603387260
Ushuaia,-54.8,-68.3,50.0,57,75,18.34,AR,1603387049
Kedrovyy,56.17,91.82,51.8,53,40,15.66,RU,1603387261
Vaini,-21.2,-175.2,71.6,83,20,5.82,TO,1603387037
Hermanus,-34.42,19.23,64.99,79,0,1.99,ZA,1603387262
Mahébourg,-20.41,57.7,75.2,73,40,9.17,MU,1603387262
Saint Paul Harbor,57.79,-152.41,46.4,70,90,20.8,US,1603387263
Hilo,19.73,-155.09,67.8,56,1,9.17,US,1603387058
Dunedin,-45.87,170.5,48.99,87,100,3.0,NZ,1603387263
Cabo San Lucas,22.89,-109.91,87.08,48,5,4.7,MX,1603386708
Port Elizabeth,-33.92,25.57,68.0,88,20,10.29,ZA,1603386689
Westport,41.14,-73.36,69.44,84,22,3.83,US,1603386971
Bone,51.97,12.14,60.35,79,15,9.31,DE,1603387264
Kavieng,-2.57,150.8,82.74,72,71,9.64,PG,1603387264
Damaturu,11.75,11.96,90.97,13,13,10.36,NG,1603387264
Mataura,-46.19,168.86,50.0,90,100,1.99,NZ,1603387265
Saint-Philippe,-21.36,55.77,69.64,73,0,17.22,RE,1603387029
Tuktoyaktuk,69.45,-133.04,21.2,92,90,14.99,CA,1603387265
Umm Kaddadah,13.6,26.69,92.32,10,0,8.81,SD,1603387266
Punta Arenas,-53.15,-70.92,52.43,62,75,11.41,CL,1603387253
Hobart,-42.88,147.33,50.2,87,90,6.93,AU,1603387225
Port Alfred,-33.59,26.89,68.74,86,0,17.69,ZA,1603387267
Upernavik,72.79,-56.15,25.12,97,100,8.95,GL,1603387267
Canarana,-11.68,-41.77,94.78,21,41,8.86,BR,1603387268
Clarence Town,-32.58,151.78,62.82,93,0,8.05,AU,1603387268
Severo-Kuril'sk,50.68,156.12,43.09,78,100,6.02,RU,1603387268
Qaanaaq,77.48,-69.36,19.13,94,100,4.32,GL,1603387268
Bluff,-46.6,168.33,50.0,90,100,1.99,NZ,1603387269
Sivaki,52.63,126.75,22.53,95,82,10.27,RU,1603387269
Pemangkat,1.17,108.97,80.08,82,100,8.28,ID,1603387269
Atuona,-9.8,-139.03,77.38,80,28,17.36,PF,1603387269
Bairiki Village,1.33,172.98,80.6,78,20,9.17,KI,1603387269
Thompson,55.74,-97.86,30.2,68,75,10.29,CA,1603387269
Polunochnoye,60.87,60.42,20.75,97,93,3.58,RU,1603387270
Port Hardy,50.7,-127.42,39.2,93,40,2.24,CA,1603387270
Garden City,42.33,-83.33,52.86,87,90,6.93,US,1603387270
Mēga,4.05,38.3,67.01,72,40,8.48,ET,1603387270
Bumba,2.18,22.47,72.84,93,100,2.06,CD,1603387270
Vanimo,-2.67,141.3,76.48,78,98,2.21,PG,1603386687
Labuhan,-6.88,112.21,81.16,77,8,1.12,ID,1603387271
Bengkulu,-3.8,102.27,76.73,82,100,4.03,ID,1603387271
Lata,40.16,-8.33,62.64,77,0,1.01,PT,1603387271
Kapaa,22.08,-159.32,76.33,78,24,3.33,US,1603387272
Muisne,0.6,-80.03,82.4,78,40,8.05,EC,1603387272
Belmonte,-15.86,-38.88,82.4,65,75,12.75,BR,1603387273
Faanui,-16.48,-151.75,78.31,79,16,12.06,PF,1603387274
Posadas,-27.37,-55.9,94.12,44,0,12.75,AR,1603387274
Bethel,41.37,-73.41,69.96,77,90,3.22,US,1603387034
Bambous Virieux,-20.34,57.76,73.69,73,40,9.17,MU,1603387274
Lompoc,34.64,-120.46,60.26,87,90,5.23,US,1603387052
Kavaratti,10.57,72.64,81.03,77,75,16.82,IN,1603387275
Selfoss,63.93,-21.0,39.99,84,100,18.01,IS,1603387275
Namwala,-15.75,26.44,81.97,28,79,5.55,ZM,1603387275
Nanortalik,60.14,-45.24,32.32,82,0,22.88,GL,1603387275
Noumea,-22.28,166.46,77.0,65,63,1.12,NC,1603387275
Arraial do Cabo,-22.97,-42.03,78.8,61,40,18.34,BR,1603387029
Hithadhoo,-0.6,73.08,83.57,75,0,16.37,MV,1603387030
Grindavik,63.84,-22.43,42.8,81,75,34.45,IS,1603387276
Vasto,42.12,14.71,57.99,79,0,1.88,IT,1603387276
Iqaluit,63.75,-68.51,30.09,74,75,6.93,CA,1603387038
Roald,62.58,6.13,38.77,70,20,16.11,NO,1603387277
Sturgis,41.8,-85.42,56.37,93,90,8.05,US,1603387174
Talnakh,69.49,88.4,12.2,85,40,4.47,RU,1603387277
Merauke,-8.47,140.33,76.51,86,55,10.85,ID,1603387277
Bredasdorp,-34.53,20.04,64.4,82,0,9.17,ZA,1603387278
Katsuura,35.13,140.3,64.09,77,75,12.75,JP,1603387278
Bathsheba,13.22,-59.52,87.8,66,40,17.22,BB,1603387278
Moree,-29.47,149.85,66.2,77,4,13.87,AU,1603387278
New Norfolk,-42.78,147.06,49.5,84,99,1.77,AU,1603387279
Chokurdakh,70.63,147.92,2.28,94,50,9.64,RU,1603387279
Bulgan,48.81,103.53,32.36,83,0,2.77,MN,1603387280
Avera,33.19,-82.53,77.59,74,90,9.17,US,1603387280
Río Gallegos,-51.62,-69.22,60.8,36,40,14.99,AR,1603387281
Isangel,-19.55,169.27,75.74,81,95,9.31,VU,1603387281
Carnarvon,-24.87,113.63,68.0,77,0,16.11,AU,1603387282
Changji,44.02,87.32,50.0,31,0,6.71,CN,1603387282
Nelson Bay,-32.72,152.15,63.27,93,1,8.05,AU,1603387282
Karasuyama,36.65,140.15,60.8,93,75,4.7,JP,1603387282
Butaritari,3.07,172.79,81.41,77,60,9.46,KI,1603387282
Cape Canaveral,28.41,-80.6,82.06,69,40,11.41,US,1603386416
Andrews,32.32,-102.55,78.8,50,1,17.22,US,1603387283
Wagar,16.15,36.2,92.77,21,0,6.33,SD,1603387283
Sturgeon Bay,44.83,-87.38,42.12,81,90,6.93,US,1603387284
Manggar,-2.88,108.27,80.74,79,99,4.41,ID,1603387284
College,64.86,-147.8,15.67,85,1,5.82,US,1603387284
Albany,42.6,-73.97,67.46,66,24,2.71,US,1603387277
Cherskiy,68.75,161.3,18.86,95,16,6.98,RU,1603387285
Karpathos,35.51,27.21,68.0,72,20,3.36,GR,1603387285
Bantou,26.22,117.49,57.04,83,26,2.64,CN,1603386742
Nikolskoye,59.7,30.79,44.19,93,90,6.71,RU,1603387285
Henties Bay,-22.12,14.28,64.0,79,10,3.0,NA,1603387285
San Antonio,29.42,-98.49,81.05,65,90,9.17,US,1603387094
San Jose,37.34,-121.89,65.62,67,20,5.82,US,1603387048
George Town,5.41,100.34,77.65,88,20,3.36,MY,1603387286
La Reforma,25.08,-108.05,91.33,67,0,3.0,MX,1603387286
Necochea,-38.55,-58.74,55.0,96,100,4.0,AR,1603387286
Port-Gentil,-0.72,8.78,82.4,78,40,14.99,GA,1603387287
Ketchikan,55.34,-131.65,34.83,81,75,3.36,US,1603387287
Rawlins,41.79,-107.24,37.22,69,90,6.93,US,1603387288
Jaqué,7.52,-78.17,81.64,79,56,5.1,PA,1603387288
Tautira,-17.73,-149.15,78.55,78,20,7.87,PF,1603387288
